Datum,wind_richting,zon_perc,zon_straling,dag_vocht,max_vocht,min_vocht,vector_wind,wind,max_wind,min_wind,max_windstoot,gem_temp,min_temp,max_temp,zon_uren,duur_neerslag,dag_neerslag,max_neerslag,dag_luchtdruk,max_luchtdruk,min_luchtdruk
2001-07,194.70967741935485,42.935483870967744,1812.6451612903227,78.3225806451613,96.0,56.96774193548387,2.735483870967742,3.158064516129032,5.032258064516129,1.3548387096774193,9.903225806451612,18.532258064516128,13.280645161290321,23.612903225806452,6.961290322580646,1.4258064516129034,2.7903225806451615,1.3290322580645162,1014.1225806451613,1016.5290322580645,1011.7225806451613
2001-08,207.38709677419354,43.225806451612904,1531.3870967741937,80.90322580645162,97.93548387096774,58.54838709677419,2.5387096774193547,3.012903225806452,4.741935483870968,1.1612903225806452,9.580645161290322,18.483870967741936,12.948387096774193,23.635483870967743,6.316129032258065,1.4967741935483871,3.732258064516129,1.9064516129032258,1015.0903225806452,1017.8064516129032,1012.2064516129033
2001-09,232.7,29.733333333333334,900.3,87.13333333333334,98.03333333333333,68.9,2.7,3.1933333333333334,5.1,1.6333333333333333,10.8,13.433333333333334,10.086666666666668,17.363333333333333,3.7533333333333334,3.61,7.013333333333334,2.4133333333333336,1011.4133333333334,1013.6666666666666,1008.3666666666667
2001-10,187.90322580645162,36.16129032258065,609.0322580645161,86.6774193548387,96.96774193548387,71.70967741935483,3.735483870967742,3.9387096774193546,5.612903225806452,2.2903225806451615,10.870967741935484,14.219354838709679,10.841935483870968,17.958064516129035,3.8451612903225807,1.0290322580645161,1.2999999999999998,0.5967741935483871,1014.3709677419355,1017.4709677419354,1011.1258064516129
2001-11,245.46666666666667,23.633333333333333,281.53333333333336,90.4,98.56666666666666,77.2,2.5300000000000002,2.8233333333333333,4.633333333333334,1.2,9.533333333333333,7.12,3.4633333333333334,10.236666666666668,2.1133333333333333,3.3699999999999997,2.8333333333333335,0.8966666666666667,1021.3633333333332,1025.1566666666668,1017.4599999999999
2001-12,183.25806451612902,26.677419354838708,192.4516129032258,91.2258064516129,98.16129032258064,79.03225806451613,2.8870967741935485,3.2483870967741937,5.193548387096774,1.5483870967741935,10.580645161290322,2.858064516129032,-0.7645161290322582,5.829032258064516,2.083870967741935,3.541935483870968,3.0161290322580645,0.8838709677419354,1022.3741935483871,1026.7516129032258,1018.2548387096774
2002-01,188.25806451612902,29.677419354838708,243.61290322580646,90.19354838709677,97.06451612903226,81.35483870967742,4.270967741935484,4.561290322580645,6.129032258064516,2.838709677419355,11.612903225806452,4.419354838709677,1.8451612903225807,6.706451612903226,2.458064516129032,2.509677419354839,2.512903225806452,0.8806451612903226,1021.0032258064516,1024.2903225806451,1017.6645161290322
2002-02,204.96428571428572,41.214285714285715,520.6071428571429,79.21428571428571,91.57142857142857,63.32142857142857,5.446428571428571,5.960714285714286,8.357142857142858,3.642857142857143,16.178571428571427,7.114285714285714,3.9499999999999997,10.164285714285715,4.132142857142857,4.057142857142857,4.9750000000000005,1.3892857142857142,1009.5607142857143,1013.7142857142857,1005.2035714285714
2002-03,177.58064516129033,47.67741935483871,1014.8387096774194,77.41935483870968,92.29032258064517,59.096774193548384,3.5032258064516126,3.829032258064516,6.096774193548387,1.5483870967741935,11.35483870967742,7.22258064516129,2.4322580645161294,11.787096774193548,5.66774193548387,1.4870967741935484,1.0612903225806452,0.36774193548387096,1017.574193548387,1020.7387096774194,1014.2354838709678
2002-04,189.26666666666668,48.13333333333333,1386.5666666666666,73.86666666666666,89.33333333333333,55.0,3.52,3.8466666666666667,5.833333333333333,1.9,10.833333333333334,9.33,3.85,14.303333333333335,6.573333333333333,2.1033333333333335,1.63,0.42000000000000004,1015.7900000000001,1018.6566666666666,1013.15
